BB 16 Redev. plan for 4541 Oakland,Primary,roddy
BB 18 Redev. plan for 4247 Laclede,Primary,roddy
BB 42 Vacation of Children's Place at Euclid,Primary,roddy
BB 43 Public Works Bill,Co-Sponsor,roddy
BB 58 Redev Plan for 4340 Vista,Primary,roddy
BB 125 Vacate Taylor from Duncan/Parkview,Primary,roddy
BB 129 Redev. plan for 4525 Wichita,Primary,roddy
BB 162 Redevelopment plan for 4162-68 Manchester,Primary,roddy
BB 163 Redevelopment plan for 4472 Lindell,Primary,roddy
BB 200 Redevelopment plan for 4300 Manchester,Primary,roddy
BB 291 Redev. plan for 4370 Manchester,Primary,roddy
BB 296 Ord. pertaining to the Grand Blvd Vioduct,Primary,roddy
BB 317 Amend to Station G. TIF,Primary,roddy
BB 336 Ord. pertaining to trees.,Primary,roddy
