BB 8 Honorary street name cost and installation,Primary,boyd
BB 10 Amending the Excise Code,Co-Sponsor,boyd
BB 75 Ord. pertaining to dog training,Co-Sponsor,boyd
BB 86 Ordinance pertaining to scrap metal,Co-Sponsor,boyd
BB 87 Redev. plan for 5967-69 Martin Luther King,Primary,boyd
BB 151 Redev. plan for 5473-75 Brown,Primary,boyd
BB 186 Petition Signature,Primary,boyd
BB 189 Ord. Relating to Forest Park,Co-Sponsor,boyd
BB 219 Terminate TIFs - Goodfellow,Primary,boyd
BB 258 Residential and commercial bicycling,Co-Sponsor,boyd
BB 278 Ordinance pertaining to Secondhand dealers,Co-Sponsor,boyd
BB 280 Ordinance pertaining to City Depositories,Primary,boyd
