BB 37 Liquor moratorium in the 24th Ward,Primary,ogilvie
BB 45 Redev. plan for 2118 Forest,Primary,ogilvie
BB 75 Ord. pertaining to dog training,Co-Sponsor,ogilvie
BB 83 Redev. plan for 1538 - 1564 Fairmont,Primary,ogilvie
BB 86 Ordinance pertaining to scrap metal,Co-Sponsor,ogilvie
BB 121 Establishing CID for Cheshire Annex,Primary,ogilvie
BB 187 Terminate Scullin TIF,Primary,ogilvie
BB 189 Ord. Relating to Forest Park,Co-Sponsor,ogilvie
BB 224 Cooperative agrmt for Multiple projects,Primary,ogilvie
BB 246 Ordinance pertaining to semi-trailer trucks.,Primary,ogilvie
BB 258 Residential and commercial bicycling,Primary,ogilvie
BB 269 Redevelopment plan for 2010 Kraft,Primary,ogilvie
