BB 11 Community benefits agreement for tax incentivized real estate projects,Co-Sponsor,kennedy
"BB 46 Redevelopment plan for Taylor, Delmar, Page, Kingshighway",Primary,kennedy
BB 66 Ordinance regarding use of surveillance technology,Primary,kennedy
BB 74 Redevelopment plan for Cook & Finney Scattered Sites,Primary,kennedy
BB 87 Ordinance prohibiting illegal evictions,Primary,kennedy
BB 103 Deaconess Foundation Project Zoning Change,Primary,kennedy
BB 132 Establishing the Office of Community Mediation,Co-Sponsor,kennedy
BB 206 Redevelopment plan for 5122-24 Kensington,Primary,kennedy
BB 233 Ordinance amending Civilian Oversight Board Bill,Co-Sponsor,kennedy
BB 234 Ordinance establishing Independent Investigations Unit,Co-Sponsor,kennedy
