BB 6 Establishing 4-way stop at Oleatha/Prather,Primary,vaccaro
BB 34 Recreation Sales Tax Leasehold Revenue Refunding Bonds,Primary,vaccaro
BB 36 Program for monitoring the prescribing and dispensing of controlled substances,Co-Sponsor,vaccaro
BB 40 Ordinance pertaining to drug related overdoses and medical assistance,Co-Sponsor,vaccaro
BB 57 Ordinance calling for a proposal to levy property tax,Co-Sponsor,vaccaro
BB 90 Ordinance establishing 3-way stop at Marquette & Prather,Primary,vaccaro
BB 103 stop site for all northbound and southbound traffic on Sulphur at Potomac,Primary,vaccaro
BB 109 Missouri Clean Energy District,Co-Sponsor,vaccaro
BB 151 Amending Public Nuisances Code,Co-Sponsor,vaccaro
BB 163 Charter amendment regarding the Assessor,Primary,vaccaro
BB 190 Zoning change for 4650 Hampton,Co-Sponsor,vaccaro
BB 192 Ordinance requiring reporting on solitary confinement,Primary,vaccaro
BB 206 Ordinance establishing a stop site on Mardel Avenue,Primary,vaccaro
