BB 7 Renaming 6500 Scanlan as Francis R. Slay Way,Primary,vaccaro
BB 16 Redev. plan for 6408 Arthur,Primary,vaccaro
BB 17 Redev. plan for 7059 Mardel,Primary,vaccaro
BB 167 Intergovernmental agreement,Co-Sponsor,vaccaro
BB 175 Firemen's Retirement System,Primary,vaccaro
BB 189 Ord. Relating to Forest Park,Co-Sponsor,vaccaro
BB 197 Redev. plan for 6925 Oleatha,Primary,vaccaro
BB 224 Cooperative agrmt for Multiple projects,Co-Sponsor,vaccaro
BB 267 Rezoning 5833-75 Chippewa,Primary,vaccaro
