BB 24 Redevelopment plan for 4467 Gibson,Primary,roddy
BB 27 Parking within 1100 Taylor Avenue,Primary,roddy
BB 46 Redevelopment plan for 4929-63 Manchester,Primary,roddy
"BB 76 Redevelopment plan for 1515-215 S. 39th, 3901-05, 3907-09 Folsom, 3861-69 McRee, 3867 Lafayette",Co-Sponsor,roddy
BB 86 4200 Gibson Residential Parking,Primary,roddy
BB 91 Cortex - Release of properties on Duncan and Sarah,Primary,roddy
BB 92 Establishing the Euclid CID,Primary,roddy
BB 112 Zoning change for 3992 Gratiot,Primary,roddy
BB 114 Vacation of the north/south alley at Children's Place/Taylor/Scott/Euclid,Primary,roddy
BB 116 Redevelopment plan for 4321-25 Manchester,Primary,roddy
BB 117 Redevelopment plan for 4187-91 Manchester,Primary,roddy
BB 137 Block Grant for 2015,Primary,roddy
BB 167 Parking in 4500 Gibson Av. Residential District,Primary,roddy
BB 173 Dissolving special allocation funds for Center for Emerging Technologies,Primary,roddy
BB 179 Tax Increment Financing Plans,Primary,roddy
BB 194 Approving SSTIF Documents,Primary,roddy
BB 219 Sale of 4213 Gibson,Primary,roddy
BB 246 Vacation of Wise between Kingshighway and Brother Thornton Way,Primary,roddy
BB 247 Vacation of Parkview Place from Euclid to Kingshighway,Primary,roddy
BB 257 Redevelopment plan for 4448 Oakland,Primary,roddy
