u_id,address,ptype,rent,deposit,bed,bath,sqfeet,yearbuilt,pet,ceilingFan,furnished,fireplace,cablePaid,securitySystem,laundry,washer,dryer,heatstyle,dishwasher,stove,garbage,refrigerator,microwave,swimming,parking,fence,porch,smoking
4269150,"4808 Single Shot Cir Austin, TRAVIS County  78723",House,"$1,695.00","$1,695.00",3,2,1575,1998,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Central,Yes,Yes,Yes,Yes,No,No,2 Spaces,No,Not Known,No
4269145,"6919 Shannon Dr Austin, TRAVIS County  78724",House,"$1,595.00","$1,595.00",4,1.5,1170,1980,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Central,Yes,Yes,Yes,Yes,No,No,2 Spaces,No,Deck,No
4511900,"9400 Hunters E Trce Austin, Travis County  78758",House,"$1,950.00","$1,950.00",4,2,2025,1972,Yes,Yes,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,No,No,2 - Car Garage,Yes,Patio,No
4126044,"14515 Oliphant St Austin, Travis County  78725",House,"$1,800.00","$1,800.00",4,2,1662,2000,No,Yes,No,No,No,No,No,No,No,Central,No,No,No,No,No,No,Unknown,No,Not Known,No
4954579,"8801 Mccann Dr 138Austin, Travis County  78757",Apt,$860.00,$150.00,1,1,723,N/A,Yes,Yes,No,No,Yes,No,Yes,No,No,Central,Yes,Yes,Yes,Yes,No,Yes,Open,No,Patio,No
4953516,"7703 Elderberry Dr Austin, Travis County  78745",House,"$1,775.00","$1,400.00",3,2,1100,N/A,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Furnace,Yes,Yes,Yes,Yes,Yes,No,2 - Car Garage,Yes,Not Known,No
4189242,"6111 CADDIE ST AAUSTIN, TRAVIS County  78741",Duplex,"$1,700.00","$1,700.00",3,2,1331,2005,No,Yes,No,No,No,No,No,No,No,Central,No,Yes,Yes,Yes,No,No,Driveway,No,Not Known,No
4952769,"1305 E Saint Johns Ave Austin, Travis County  78752",Duplex,"$1,495.00","$1,500.00",3,2,1400,1968,Yes,No,No,Yes,No,No,No,Yes,Yes,Central,Yes,Yes,No,Yes,No,No,1 - Carport,Yes,Porch,No
4949337,"1614 Wheless Ln 110Austin, Travis County  78723",Apt,"$1,175.00",$500.00,2,1,868,1970,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Central,Yes,Yes,Yes,Yes,Yes,No,Assigned,No,Porch,No
4948507,"7418 Cameron Rd 210Austin, Travis County  78752",Apt,$890.00,$600.00,1,1,790,1984,No,No,No,Yes,No,No,No,No,No,Central,No,Yes,No,Yes,No,No,Unassigned,No,Patio,No
4920166,"2503 Cecil Dr 3Austin, Travis County  78744",4 Plex,$775.00,$700.00,1,1,625,1968,No,Yes,No,No,No,No,Yes,No,No,Central,No,Yes,No,Yes,No,No,1 Space,No,Porch,No
4946635,"2501 Bucks Run BAustin, Travis County  78744",Duplex,"$1,275.00","$1,275.00",2,1,892,1983,Yes,Yes,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,Yes,No,1 - Carport,No,Balcony,No
4946630,"2501 Bucks Run AAustin, Travis County  78744",Duplex,"$1,300.00","$1,300.00",2,1,892,1983,Yes,Yes,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,Yes,No,1 - Carport,Yes,Patio,No
4944654,"6200 Loyola Ln 833Austin, Travis County  78724",Apt,"$1,288.00",$300.00,3,2,1106,2007,Yes,Yes,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,Yes,Yes,1 - Carport,No,Patio,No
4944651,"6200 Loyola Ln 1224Austin, Travis County  78724",Apt,"$1,118.00",$200.00,2,2,1007,2007,Yes,Yes,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,Yes,Yes,1 - Car Garage,No,None,No
4911945,"6200 Loyola Ln Austin, Travis County  78724",Apt,"$1,288.00",$300.00,3,2,1107,2007,Yes,Yes,No,No,No,No,No,No,No,Boiler,Yes,Yes,Yes,Yes,Yes,Yes,1 - Carport,No,Patio,No
4944381,"2906 E Martin Luther King Jr Blvd 32Austin, Travis County  78702",Apt,"$1,280.00",$250.00,3,2,1200,2011,Yes,Yes,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,Yes,No,Open,No,None,No
4944380,"2906 E Martin Luther King Jr Blvd 32Austin, Travis County  78702",Apt,"$1,280.00",$250.00,3,2,1200,2011,Yes,Yes,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,Yes,No,Open,No,Not Known,No
4944378,"2906 E Martin Luther King Jr Blvd 24Austin, Travis County  78702",Apt,"$1,280.00",$250.00,3,2,1200,2011,Yes,Yes,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,Yes,No,Open,No,Not Known,No
4944025,"3226 W Slaughter Ln 406Austin, Travis County  78748",Apt,$980.00,$150.00,1,1,698,2015,Yes,Yes,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,Yes,No,Unassigned,No,Not Known,No
4942580,"4905 Blue Bluff Rd Austin, Travis County  78724",House,"$1,000.00","$1,000.00",2,1,900,1980,No,Yes,No,No,No,No,No,No,No,Furnace,No,Yes,No,Yes,No,No,Unknown,Yes,Not Known,No
4940016,"6200 Loyola Ln 934Austin, Travis County  78724",Apt,"$1,118.00",$200.00,2,2,1007,2007,Yes,Yes,No,No,No,No,No,No,No,Boiler,Yes,Yes,Yes,Yes,Yes,Yes,1 - Carport,No,Patio,No
4939439,"5913 Alsace Trl Austin, Travis County  78724",House,"$1,650.00","$1,650.00",3,2,1306,1980,No,Yes,No,No,No,No,No,No,No,Unknown,Yes,Yes,Yes,Yes,Yes,No,Unknown,No,Not Known,No
4939189,"6200 Loyola Ln 812Austin, Travis County  78724",Apt,"$1,118.00",$200.00,2,1.5,1007,2007,Yes,Yes,No,No,No,No,No,No,No,Boiler,Yes,Yes,Yes,Yes,Yes,Yes,1 - Car Garage,No,Patio,No
