BB 16 Redevelopment plan for 3835 Connecticut,Primary,green
BB 17 Redevelopment plan for 3657 Wyoming,Primary,green
BB 36 Program for monitoring the prescribing and dispensing of controlled substances,Co-Sponsor,green
BB 40 Ordinance pertaining to drug related overdoses and medical assistance,Co-Sponsor,green
BB 44 Redevelopment plan for 3722 Tholozan,Primary,green
BB 53 Ordinance pertaining to campaign contribution limits,Co-Sponsor,green
BB 54 Ordinance banning lobbyist from the Board of Aldermen Chambers,Primary,green
BB 63 Fiscal Note Bill,Co-Sponsor,green
BB 76 Redevelopment plan for 3935-37 Wyoming,Primary,green
BB 142 Barring tractor-trailer traffic on a section of Morganford,Primary,green
BB 151 Amending Public Nuisances Code,Primary,green
BB 203 Ordinance regarding pregnancy and reproductive health decisions as protected classes,Primary,green
BB 220 Whistleblower ordinance,Co-Sponsor,green
BB 261 Domestic violence leave bill,Primary,green
BB 261 Domestic violence leave bill,Primary,green
