"BB 76 B.B.#76 – Hubbard - An ordinance recommended by the Planning Commission approving the name of a new public street located in the approved Jonas Hubbard Estates subdivision, located in City Block 552.",Primary,hubbard
"BB 101 Al’s Restaurant, located at 1200 N. 1st Street",Primary,hubbard
BB 169 Opioid Crisis,Co-Sponsor,hubbard
