BB 19 Redev. plan for 4168 W.Pine,Primary,roddy
BB 81 Redev. plan for 4314 and 4453 Gibson,Primary,roddy
BB 165 Redev. plan for 4207 Arco,Primary,roddy
BB 182 Vacation of Motard from Hickory to Rutger,Primary,roddy
BB 188 Dissolving Station G TIF,Primary,roddy
BB 189 Ord. Relating to Forest Park,Co-Sponsor,roddy
BB 190 Prop. to secure bond counsel,Primary,roddy
BB 193 Non performing TIFs,Co-Sponsor,roddy
BB 195 Ord. est. Clean Energy Dev. Bd.,Primary,roddy
BB 220 Vacation of Children's Place,Primary,roddy
BB 241 Rezoning Highlands Properties,Primary,roddy
BB 273 Vacation of the alley at Clayton and Taylor,Primary,roddy
BB 274 Redevelopment plan for 925-927 S. Sarah,Primary,roddy
BB 275 Redevelopment plan for 4537 Arco,Primary,roddy
BB 291 Terminate Easement at 3946 Papin,Primary,roddy
