BB 39 Public works for Kingshighway Blvd,Co-Sponsor,vollmer
BB 39 Public works for Kingshighway Blvd,Co-Sponsor,vollmer
BB 65 Redevelopment plan for 5025 Pattison Avenue,Primary,vollmer
BB 147 Redevelopment plan for 2226 Edwards,Primary,vollmer
BB 148 Redevelopment plan for 5130 Shaw,Primary,vollmer
BB 149 Redevelopment plan for 5231-35 Bischoff,Primary,vollmer
BB 161 Ordinance pertaining to solicitation on highway entrance and exit ramps,Co-Sponsor,vollmer
BB 185 Redevelopment plan for 5237-5239 Bischoff,Primary,vollmer
