"BB 16 Redev. plan for Union, Page, Academy, Maple",Primary,williamson
BB 17 Redevelopment plan for 5435-75 Cabanne,Primary,williamson
BB 21 Roberts Place House Community Improvement District,Primary,williamson
"BB 36 Redev. plan for 459-61 Laurel, 5733 Waterman and 5744 DeGiverville",Primary,williamson
BB 47 An ordinance submitting to the qualified voters of the City of St. Louis a non-binding preferential vote regarding the residency requirement for civilian employees and commissioned police officers of the St. Louis Metropolitan Police Department.,Co-Sponsor,williamson
BB 413 Easement for Ameren 2007,Primary,williamson
